partner_uuid,first_name,last_name,last_trip_timestamp,lifetime_trips,signup_city_name,signup_ts
PA270650031966493000,WHITE,CURTIS,2016-05-08 11:08:49,43,7,2015-03-29 05:10:33
ZG555083541564861000,LOPEZ,PEARSON,2018-05-06 08:42:26,7,7,2015-06-22 05:23:25
TS863629442621031000,LEE,DELGADO,2021-09-14 17:49:40,48,7,2015-12-09 23:45:32
MD331323026697001000,GONZALEZ,VALDEZ,2022-03-09 23:29:56,68,30,2015-01-06 20:53:57
MA665946092596282000,HARRIS,PENA,2016-08-11 11:46:10,18,7,2015-11-17 03:27:48
CI835389800918319000,CLARK,RIOS,2016-09-08 08:13:58,55,7,2015-11-01 23:48:21
HN227929155296973000,LEWIS,DOUGLAS,2018-04-23 21:33:01,99,30,2015-05-19 03:59:27
UD957975255819495000,ROBINSON,SANDOVAL,2019-12-25 15:07:32,52,30,2015-06-02 08:34:55
VE821017120956606000,WALKER,BARRETT,2018-06-07 20:43:05,24,30,2015-01-07 17:01:28
KU912128924786477000,PEREZ,HOPKINS,2017-11-27 15:14:16,77,30,2015-03-17 15:38:46
PJ638118129893707000,HALL,KELLER,2021-03-06 13:30:09,10,30,2015-10-04 23:49:51
CP241676905385014000,YOUNG,GUERRERO,2020-07-22 22:39:17,98,30,2015-04-15 04:01:45
FL603799144443483000,ALLEN,STANLEY,2020-10-18 03:56:55,66,30,2015-07-19 19:30:14
CP748215842759492000,SANCHEZ,BATES,2017-05-16 11:50:37,90,30,2015-04-11 04:08:48
FZ805209463511598000,WRIGHT,ALVARADO,2016-07-02 19:19:37,89,7,2015-02-23 19:19:57
SK455955444276622000,KING,BECK,2020-05-17 19:46:32,49,94,2015-02-18 20:11:23
DL124587322741201000,SCOTT,ORTEGA,2017-07-22 02:07:11,16,94,2015-11-17 07:04:55
TQ356064596117502000,GREEN,WADE,2020-05-22 09:43:42,86,94,2015-07-17 05:57:46
ZM883534313146759000,BAKER,ESTRADA,2017-02-11 08:33:01,76,94,2015-01-05 08:07:32
ST841470480841123000,ADAMS,CONTRERAS,2018-08-16 15:23:42,72,94,2015-06-25 22:12:39
TA541858960603124000,NELSON,BARNETT,2022-01-20 22:55:25,35,94,2015-04-21 23:25:56
QD796928899326898000,HILL,CALDWELL,2019-01-08 01:51:44,8,94,2015-04-26 18:57:12
CL870091126086389000,RAMIREZ,SANTIAGO,2017-04-05 07:29:49,10,94,2015-04-05 10:47:08
FC616053609787465000,CAMPBELL,LAMBERT,2018-01-05 16:38:51,48,94,2015-08-12 15:07:09
BM768126994477227000,MITCHELL,POWERS,2020-01-21 11:12:21,85,94,2015-08-21 22:08:56
GU290094701080720000,ROBERTS,CHAMBERS,2018-12-30 07:45:16,24,94,2015-01-30 18:37:07
ZP767686547139716000,CARTER,NUNEZ,2018-01-29 13:08:10,85,94,2015-03-28 07:26:56
TG418240633092988000,PHILLIPS,CRAIG,2017-06-26 23:09:29,9,94,2015-05-04 00:48:42
GU521268292025058000,EVANS,LEONARD,2016-03-21 05:31:08,70,7,2015-11-22 01:07:24
RV269611386252979000,TURNER,LOWE,2019-01-18 12:33:59,43,94,2015-03-20 16:50:57
BM414527901394331000,TORRES,RHODES,2020-03-03 23:09:05,90,94,2015-03-12 01:03:27
WY664873547393907000,PARKER,BYRD,2017-12-30 14:03:48,34,94,2015-10-15 13:26:51
WK233115446805942000,COLLINS,GREGORY,2019-05-01 15:03:17,98,94,2015-10-14 05:02:55
EQ207763328328932000,EDWARDS,SHELTON,2021-06-12 11:03:16,3,94,2015-07-15 18:06:56
TC687980064671714000,STEWART,FRAZIER,2016-11-07 12:29:57,63,7,2015-02-14 20:41:26
PE373991929315965000,FLORES,BECKER,2019-12-18 22:59:16,95,94,2015-01-21 11:49:26
VM119760770458939000,MORRIS,MALDONADO,2016-12-08 03:33:47,78,7,2015-01-20 05:57:14
YR468932371385938000,NGUYEN,FLEMING,2019-06-25 13:31:58,59,1,2015-11-08 09:16:02
II749161471651171000,MURPHY,VEGA,2017-08-11 18:26:41,64,1,2015-09-05 08:12:22
IB936160832570945000,RIVERA,SUTTON,2017-07-21 00:08:54,12,1,2015-02-17 08:12:03
NI982817365559939000,COOK,COHEN,2021-10-07 00:45:11,35,1,2015-08-19 01:17:15
UG140209654398995000,ROGERS,JENNINGS,2018-03-17 12:47:36,29,1,2015-03-27 10:46:14
XE382000416045637000,MORGAN,PARKS,2017-10-23 11:31:56,68,1,2015-07-15 06:32:26
PL552572804732052000,PETERSON,MCDANIEL,2019-11-15 07:47:01,37,30,2015-05-26 06:20:21
RU315939893487309000,COOPER,WATTS,2018-09-29 07:01:13,30,30,2015-03-13 15:17:44
VX170950263822071000,REED,BARKER,2018-07-06 16:07:34,41,30,2015-07-20 22:54:30
NG948972618433466000,BAILEY,NORRIS,2017-07-03 22:45:16,39,30,2015-03-24 22:19:10
EW647171563860960000,BELL,VAUGHN,2021-05-14 02:06:33,72,30,2015-06-06 04:21:53
RH655908736525284000,GOMEZ,VAZQUEZ,2019-03-04 10:10:54,1,30,2015-04-11 22:26:59
XA797936403555799000,KELLY,HOLT,2018-12-06 19:09:23,17,30,2015-08-01 18:09:21
PI824853820386650000,HOWARD,SCHWARTZ,2018-09-08 07:31:58,36,30,2015-12-09 16:23:42
XR866590698597559000,WARD,STEELE,2018-02-02 01:45:08,37,30,2015-04-20 23:31:52
UM917803398196926000,COX,BENSON,2018-08-06 09:11:38,36,30,2015-10-04 09:27:05
DD583338848871910000,DIAZ,NEAL,2017-02-21 16:57:05,47,30,2015-11-19 01:20:46
GN477563044044019000,RICHARDSON,DOMINGUEZ,2020-11-27 03:07:59,23,30,2015-04-09 18:48:50
VV909690765703003000,WOOD,HORTON,2016-09-08 20:48:47,93,7,2015-01-26 23:07:15
CU972039567532557000,WATSON,TERRY,2022-03-21 00:58:20,77,30,2015-10-26 09:52:39
RP100243345288109000,BROOKS,WOLFE,2020-03-21 21:14:57,25,30,2015-09-27 23:32:29
EZ605727197010872000,BENNETT,HALE,2021-07-31 01:28:22,69,30,2015-12-16 13:00:13
WW102209847400140000,GRAY,LYONS,2021-09-12 19:43:03,88,30,2015-06-17 21:52:22
DH104518730445982000,JAMES,GRAVES,2019-02-25 08:14:20,44,30,2015-03-31 19:15:11
FU536443496776611000,REYES,HAYNES,2018-09-04 11:47:43,42,30,2015-11-23 17:43:35
RT529436127993761000,CRUZ,MILES,2018-12-23 19:23:56,79,30,2015-10-29 03:10:57
RZ632416194292757000,HUGHES,PARK,2021-07-04 16:38:13,78,148,2015-09-19 05:21:59
KR692830010284663000,PRICE,WARNER,2016-09-15 17:18:33,33,7,2015-09-01 11:55:00
YM531877504836362000,MYERS,PADILLA,2017-12-26 22:41:57,93,148,2015-06-15 03:00:07
JR564239100661330000,LONG,BUSH,2020-01-29 10:12:34,25,148,2015-09-03 08:11:19
DB683735076468074000,FOSTER,THORNTON,2019-10-11 08:44:46,94,148,2015-04-15 11:44:10
FO557881899516006000,SANDERS,MCCARTHY,2019-03-16 11:05:42,12,148,2015-04-14 11:31:03
EP523403496437959000,ROSS,MANN,2019-09-17 21:45:45,90,148,2015-06-06 14:28:31
EM443886116939682000,MORALES,ZIMMERMAN,2019-05-28 06:35:52,13,148,2015-03-04 03:09:52
GQ658312689021955000,POWELL,ERICKSON,2016-07-17 10:47:18,24,7,2015-01-13 11:25:02
PV477994165494298000,SULLIVAN,FLETCHER,2017-01-20 01:34:18,86,148,2015-08-18 20:09:31
RT710825559523245000,RUSSELL,MCKINNEY,2018-12-22 06:22:42,24,148,2015-05-18 01:14:06
YC651822550918265000,ORTIZ,PAGE,2020-01-14 05:48:07,89,148,2015-03-16 14:08:58
QN819215253905258000,JENKINS,DAWSON,2017-05-15 05:45:02,35,148,2015-05-30 01:51:19
HW957659425442010000,GUTIERREZ,JOSEPH,2018-07-03 00:19:40,11,148,2015-10-20 15:52:51
YW469288078568103000,PERRY,MARQUEZ,2018-06-20 02:24:32,81,148,2015-12-23 07:19:04
DO932500745740257000,BUTLER,REEVES,2020-01-07 00:08:25,43,148,2015-09-13 03:22:17
PC585310251634128000,BARNES,KLEIN,2020-09-04 19:41:59,84,216,2015-01-16 07:08:23
BD974309971168901000,FISHER,ESPINOZA,2018-01-05 23:29:13,48,216,2015-02-07 12:28:02
SE491172267105067000,HENDERSON,BALDWIN,2017-04-01 15:52:11,2,216,2015-06-12 07:09:46
LM247195599224215000,COLEMAN,MORAN,2017-07-04 14:05:10,36,216,2015-12-10 07:46:30
VL993563528284551000,SIMMONS,LOVE,2021-08-20 01:36:52,28,14,2015-08-23 15:09:19
WE503323123702791000,PATTERSON,ROBBINS,2019-07-09 18:02:57,40,216,2015-07-02 06:23:25
BG518425532299193000,JORDAN,HIGGINS,2017-07-23 08:27:45,18,216,2015-04-09 05:26:34
RM997076385717217000,REYNOLDS,BALL,2016-10-28 18:24:31,22,7,2015-01-06 13:57:27
WL264777477011162000,HAMILTON,CORTEZ,2017-03-23 20:48:20,3,216,2015-08-07 04:51:42
FS347614182075962000,GRAHAM,LE,2021-08-17 21:40:59,38,216,2015-06-20 16:43:00
YP984877094406166000,KIM,GRIFFITH,2019-06-17 01:03:36,96,216,2015-06-04 09:34:25
DF450779438696437000,GONZALES,BOWEN,2021-12-19 04:25:55,21,216,2015-06-08 17:09:49
BQ777028538676453000,ALEXANDER,SHARP,2020-12-09 20:18:59,64,216,2015-10-23 10:14:22
HZ362049925868394000,RAMOS,CUMMINGS,2016-11-12 19:16:54,90,7,2015-10-12 04:37:41
LF967644791300256000,WALLACE,RAMSEY,2021-06-19 15:52:28,13,215,2015-11-20 01:13:11
SY386238978072434000,GRIFFIN,HARDY,2016-11-09 21:37:04,40,7,2015-03-25 12:36:21
JL206981899988773000,WEST,SWANSON,2020-08-11 02:15:26,91,215,2015-07-21 13:09:40
ZA379454851354203000,COLE,BARBER,2016-03-19 11:19:16,12,7,2015-02-09 15:36:26
ND824148963143979000,HAYES,ACOSTA,2020-06-12 16:46:50,96,215,2015-04-18 12:55:54
KV209408408637864000,CHAVEZ,LUNA,2018-09-01 18:30:51,24,215,2015-01-04 02:57:00
SC503825305135117000,GIBSON,CHANDLER,2020-06-22 01:36:15,37,184,2015-08-17 14:09:34
UW910906874249425000,BRYANT,BLAIR,2021-09-26 05:19:59,72,184,2015-07-20 19:24:33
ZE813276121132794000,ELLIS,DANIEL,2021-09-13 15:46:42,13,184,2015-06-08 19:04:19
QO684606552607751000,STEVENS,CROSS,2017-11-02 21:19:30,76,184,2015-05-03 18:27:58
ZI364883134705588000,MURRAY,SIMON,2021-01-20 09:50:51,89,184,2015-02-12 06:28:52
RP753875106419132000,FORD,DENNIS,2018-04-06 05:46:10,37,184,2015-04-21 13:55:39
XT421536813201631000,MARSHALL,OCONNOR,2021-01-09 19:54:45,70,184,2015-07-26 04:25:06
QO893298999568591000,OWENS,QUINN,2020-04-21 00:19:45,94,184,2015-05-19 21:55:10
DU696074748728646000,MCDONALD,GROSS,2017-11-21 03:10:35,11,184,2015-06-02 05:09:18
OL164043465509326000,HARRISON,NAVARRO,2021-06-05 11:49:54,30,184,2015-11-02 14:12:33
CU229274180845378000,RUIZ,MOSS,2018-07-25 01:31:52,1,184,2015-01-15 01:22:18
BB124015136086778000,KENNEDY,FITZGERALD,2017-11-19 01:46:09,8,184,2015-12-19 18:54:40
NP905610144472884000,WELLS,DOYLE,2016-08-30 00:08:35,47,7,2015-11-18 04:44:51
HC195888632924045000,ALVAREZ,MCLAUGHLIN,2019-04-22 07:47:03,47,215,2015-09-29 08:14:22
SH836178273393801000,WOODS,ROJAS,2021-11-12 02:52:48,78,215,2015-10-26 18:49:25
QU329400411144833000,MENDOZA,RODGERS,2022-05-02 13:58:30,32,215,2015-10-02 11:08:24
RD493418975991485000,CASTILLO,STEVENSON,2021-04-15 12:51:32,53,215,2015-07-06 16:03:02
US760998782584226000,OLSON,SINGH,2019-08-27 04:50:17,59,215,2015-09-30 01:38:25
JZ525831972823106000,WEBB,YANG,2018-11-27 09:13:03,64,215,2015-04-12 22:46:22
YQ712681001756061000,WASHINGTON,FIGUEROA,2018-05-17 17:12:42,34,215,2015-03-01 17:05:16
ZN114173521381287000,TUCKER,HARMON,2017-12-24 09:55:54,69,216,2015-04-09 01:17:38
ZC515842985274876000,FREEMAN,NEWTON,2018-11-05 02:43:53,99,216,2015-09-15 02:41:49
NO165411998477838000,BURNS,PAUL,2019-02-11 05:55:54,79,216,2015-06-17 06:28:40
MF818135728494289000,HENRY,MANNING,2017-09-13 11:16:09,24,216,2015-04-15 02:17:17
CQ652891787785627000,VASQUEZ,GARNER,2022-05-14 00:12:33,5,216,2015-09-03 08:11:22
PF176762057025452000,SNYDER,MCGEE,2018-12-01 08:09:56,95,14,2015-06-09 16:30:55
BC473487913587945000,SIMPSON,REESE,2019-12-16 18:06:28,24,14,2015-11-23 23:06:12
TK669255392441955000,CRAWFORD,FRANCIS,2017-12-14 12:17:12,38,216,2015-10-26 07:54:47
IZ295615907263726000,JIMENEZ,BURGESS,2016-02-24 07:55:21,48,7,2015-12-05 07:41:54
XK752284791935765000,PORTER,ADKINS,2018-01-22 23:40:26,41,216,2015-05-28 03:10:51
FM971608258826543000,MASON,GOODMAN,2021-07-10 21:40:13,13,216,2015-08-02 10:00:23
OX895253873508250000,SHAW,CURRY,2017-02-13 21:31:28,52,162,2015-09-03 12:36:23
WQ347497366614927000,GORDON,BRADY,2020-06-08 02:17:24,58,162,2015-08-12 03:50:35
NZ755932747253397000,WAGNER,CHRISTENSEN,2018-09-13 00:38:12,55,162,2015-10-14 23:19:25
QT537913554146522000,HUNTER,POTTER,2018-01-12 11:02:15,38,162,2015-07-27 23:49:09
IK663428454593534000,ROMERO,WALTON,2020-09-14 11:57:12,96,162,2015-01-21 05:34:45
SU675729811181124000,HICKS,GOODWIN,2019-05-21 00:16:29,89,162,2015-04-09 08:29:04
TI818266457664534000,DIXON,MULLINS,2020-10-09 14:53:53,91,162,2015-06-21 11:03:41
HL692268459665498000,HUNT,MOLINA,2017-04-20 23:44:28,81,162,2015-01-22 02:19:03
BB558716778907036000,PALMER,WEBSTER,2018-02-05 03:17:13,22,162,2015-05-28 08:42:04
RF127441747036737000,ROBERTSON,FISCHER,2021-10-26 01:27:37,87,162,2015-06-06 12:37:23
YL573707379613234000,BLACK,CAMPOS,2017-02-27 22:33:41,39,162,2015-01-07 04:51:34
LR104117933107139000,HOLMES,AVILA,2019-03-19 07:37:23,34,162,2015-02-08 00:39:31
DF170274467250300000,STONE,SHERMAN,2018-02-11 03:15:16,31,162,2015-11-25 18:31:02
MA211963060184303000,MEYER,TODD,2021-08-29 05:21:25,29,216,2015-07-13 05:13:50
AF841914335078566000,BOYD,CHANG,2017-05-03 00:16:21,65,216,2015-10-01 06:53:39
YM718849849403625000,MILLS,BLAKE,2019-09-21 07:33:59,12,216,2015-07-07 14:37:04
TC928483028781531000,WARREN,MALONE,2021-01-25 14:21:30,24,216,2015-03-06 05:35:42
CC901488724914556000,FOX,WOLF,2017-04-27 04:33:31,80,216,2015-05-07 11:52:05
OO161525324037031000,ROSE,HODGES,2022-04-26 11:28:58,83,216,2015-09-12 06:06:45
YG268092854442505000,RICE,JUAREZ,2016-09-12 22:27:22,87,7,2015-07-07 02:40:12
OX307110033990748000,MORENO,GILL,2017-04-18 01:01:47,78,216,2015-08-27 00:39:09
UF796895327527996000,SCHMIDT,FARMER,2016-06-13 07:09:31,16,7,2015-04-17 10:12:19
XO641863226001641000,PATEL,HINES,2019-05-10 09:28:52,35,216,2015-11-03 02:46:37
AO656012924476261000,FERGUSON,GALLAGHER,2019-04-26 00:29:44,64,216,2015-03-13 18:24:59
GK711373627865935000,NICHOLS,DURAN,2021-08-14 16:44:38,87,216,2015-12-24 02:32:30
SM864278635301278000,HERRERA,HUBBARD,2020-11-17 08:29:02,53,214,2015-01-20 02:38:41
KC883669027709657000,MEDINA,CANNON,2017-12-03 13:20:17,67,214,2015-11-29 07:21:38
ZP476126365380322000,RYAN,MIRANDA,2020-11-01 05:02:16,74,214,2015-10-23 15:26:25
BG410959298634706000,FERNANDEZ,WANG,2019-12-21 16:25:44,81,214,2015-11-08 19:30:12
GC601564570654941000,WEAVER,SAUNDERS,2018-11-20 10:55:50,71,214,2015-06-05 14:33:52
CX216821618202298000,DANIELS,TATE,2019-04-20 19:01:29,5,214,2015-06-15 05:58:17
UZ534800968765659000,STEPHENS,MACK,2017-02-18 00:36:49,95,214,2015-07-12 10:23:24
SU701175959735268000,GARDNER,HAMMOND,2016-12-02 17:16:41,41,7,2015-05-29 17:28:22
BD894584349774775000,PAYNE,CARRILLO,2016-09-22 16:56:57,6,7,2015-07-10 18:19:01
EH689014539701227000,KELLEY,TOWNSEND,2021-05-25 08:22:26,96,208,2015-08-12 10:46:32
VR217226692601398000,DUNN,WISE,2021-02-25 03:02:33,26,208,2015-05-14 01:19:44
MU296921644207052000,PIERCE,INGRAM,2021-05-03 00:55:48,69,37,2015-11-02 11:24:44
HW890865472791751000,ARNOLD,BARTON,2018-10-27 19:59:19,76,208,2015-06-07 23:33:46
RU781735592527790000,TRAN,MEJIA,2022-05-03 03:16:12,21,208,2015-11-12 01:45:48
WQ712958327996828000,SPENCER,AYALA,2021-07-11 14:06:03,64,208,2015-01-30 08:54:31
OX175571275748120000,PETERS,SCHROEDER,2018-04-15 19:08:01,37,208,2015-05-16 13:57:24
ML424962284147701000,HAWKINS,HAMPTON,2016-02-11 08:54:21,32,7,2015-04-20 09:43:40
ET831607365726251000,GRANT,ROWE,2016-10-11 00:08:32,10,7,2015-03-24 05:56:55
GB956060343079480000,HANSEN,PARSONS,2018-11-15 12:55:54,75,216,2015-09-16 05:53:49
ZP110354969564446000,CASTRO,FRANK,2018-07-11 10:45:40,65,216,2015-08-05 10:13:55
VQ944320981693682000,HOFFMAN,WATERS,2021-02-10 19:28:15,95,216,2015-10-08 23:26:46
OL690129374251603000,HART,STRICKLAND,2016-05-31 17:54:32,12,7,2015-05-23 14:15:16
KN993616890341395000,ELLIOTT,OSBORNE,2020-08-31 07:16:04,6,216,2015-06-01 16:28:53
JK221624772577199000,CUNNINGHAM,MAXWELL,2020-04-09 11:11:19,17,216,2015-08-25 21:56:00
LK520080562872198000,KNIGHT,CHAN,2022-03-04 01:24:49,54,166,2015-12-31 05:03:27
JI492715961398548000,BRADLEY,DELEON,2021-10-19 06:50:58,46,166,2015-10-06 12:59:49
PB271981246150647000,CARROLL,NORMAN,2020-08-12 22:20:31,42,166,2015-11-12 08:51:35
JF980747023868801000,HUDSON,HARRINGTON,2017-07-11 16:38:51,52,166,2015-04-28 17:56:01
OE944419922496193000,DUNCAN,CASEY,2021-03-27 18:03:23,99,166,2015-09-16 00:54:37
OZ230368942644660000,ARMSTRONG,PATTON,2018-10-09 11:42:30,40,166,2015-11-22 22:36:10
EO389823648805875000,BERRY,LOGAN,2020-11-23 17:09:19,56,166,2015-11-17 23:07:29
KC869385935301023000,ANDREWS,BOWERS,2019-02-15 15:22:01,90,166,2015-01-07 13:09:38
EK261268881994969000,JOHNSTON,MUELLER,2017-09-08 09:20:28,49,166,2015-04-07 15:43:44
HA699156562447581000,RAY,GLOVER,2021-03-05 20:03:45,59,166,2015-02-26 02:41:36
PD227139236051875000,LANE,FLOYD,2016-06-13 05:08:49,13,7,2015-11-12 21:48:07
II961370580208103000,RILEY,HARTMAN,2022-01-08 19:48:00,44,166,2015-08-19 20:40:17
UC113360181239384000,CARPENTER,BUCHANAN,2020-12-08 14:45:54,34,166,2015-11-16 13:13:12
AI509523771454862000,PERKINS,COBB,2016-12-29 21:15:18,19,166,2015-05-15 07:41:18
MG361281108195043000,AGUILAR,FRENCH,2019-10-27 11:07:11,30,166,2015-01-13 03:54:12
KS941999145980893000,SILVA,KRAMER,2017-09-07 10:57:01,6,166,2015-02-24 04:34:13
LR178941237570762000,RICHARDS,MCCORMICK,2021-06-06 14:11:06,87,166,2015-10-21 15:38:26
WM456532537459873000,WILLIS,CLARKE,2017-11-21 03:07:51,24,166,2015-01-07 14:03:51
NV473215125368966000,MATTHEWS,TYLER,2018-03-05 02:08:06,24,216,2015-08-07 05:20:31
CJ745844910718041000,CHAPMAN,GIBBS,2018-12-25 10:52:41,1,216,2015-10-13 11:44:44
HW193598152698004000,LAWRENCE,MOODY,2020-11-14 01:18:22,71,216,2015-10-20 22:59:52
VK427368839287426000,GARZA,CONNER,2022-04-12 08:19:35,64,216,2015-10-22 07:40:31
TW563222626550068000,VARGAS,SPARKS,2017-05-24 14:44:41,67,216,2015-10-12 17:32:12
EJ767984904992177000,WATKINS,MCGUIRE,2016-07-30 19:55:59,62,216,2015-01-30 06:48:43
TF803261408207358000,WHEELER,LEON,2017-10-07 14:57:58,87,216,2015-06-22 23:15:43
RP850237385079002000,LARSON,BAUER,2016-05-17 19:34:44,35,216,2015-06-05 10:42:13
CT740631195377966000,CARLSON,NORTON,2017-12-04 19:28:30,62,216,2015-03-19 23:54:14
IR253930934886664000,HARPER,POPE,2020-09-25 11:03:43,29,191,2015-01-03 18:23:52
IL757526600639628000,GEORGE,FLYNN,2020-04-16 13:07:05,81,191,2015-06-30 23:33:38
HY565588785454453000,GREENE,HOGAN,2018-09-08 18:12:20,2,191,2015-09-03 08:40:22
DE246493043258904000,BURKE,ROBLES,2021-09-04 16:13:46,94,191,2015-02-04 01:21:35
AH512886532968364000,GUZMAN,SALINAS,2018-04-01 09:57:06,77,191,2015-05-03 23:27:07
TX951953600205366000,MORRISON,YATES,2017-01-29 06:06:04,83,191,2015-10-01 01:10:34
DC861853571496902000,MUNOZ,LINDSEY,2016-11-14 22:36:53,36,191,2015-05-28 23:28:45
YD811150950030640000,JACOBS,LLOYD,2019-07-17 15:58:33,36,191,2015-10-30 06:32:38
WI932460103731745000,OBRIEN,MARSH,2022-05-02 08:36:35,34,191,2015-04-21 09:07:49
DZ282753996008417000,LAWSON,MCBRIDE,2021-03-12 06:35:58,16,216,2015-06-07 02:53:20
VW220425682130439000,FRANKLIN,OWEN,2019-07-29 20:40:34,94,216,2015-04-07 10:29:37
UT526185834724077000,LYNCH,SOLIS,2016-02-14 11:58:21,26,216,2015-04-25 07:16:21
XF265436102036072000,BISHOP,PHAM,2018-12-08 20:41:34,83,216,2015-10-23 16:19:01
KN812141580431256000,CARR,LANG,2018-04-15 21:50:43,69,216,2015-11-05 13:46:00
UI817438492884852000,SALAZAR,PRATT,2021-06-20 08:47:41,21,216,2015-07-05 09:12:57
ME903838014215109000,AUSTIN,LARA,2016-11-22 17:48:00,68,216,2015-03-24 16:51:02
PL779354339216313000,MENDEZ,BROCK,2020-09-14 11:14:39,48,216,2015-02-12 12:07:33
UC733931355983388000,GILBERT,BALLARD,2019-12-10 11:15:41,5,216,2015-09-04 22:53:33
KG995420850904721000,JENSEN,TRUJILLO,2021-08-19 09:59:58,77,189,2015-12-06 06:51:22
PA264985741814462000,WILLIAMSON,SHAFFER,2020-09-11 10:20:51,48,189,2015-11-22 12:49:25
KF367072617494446000,MONTGOMERY,DRAKE,2022-05-14 12:28:32,35,189,2015-06-03 13:49:06
RI205181707053446000,HARVEY,ROMAN,2020-10-17 03:11:04,51,189,2015-06-25 19:05:50
TD248563870667991000,OLIVER,AGUIRRE,2017-02-14 17:34:38,93,189,2015-10-31 11:51:36
BK960591253748946000,HOWELL,MORTON,2020-02-12 13:37:04,25,189,2015-05-10 07:41:45
RX159733494180666000,DEAN,STOKES,2021-05-18 11:46:19,22,189,2015-08-04 14:23:36
SI422474058038332000,HANSON,LAMB,2019-04-09 15:57:35,46,189,2015-10-12 00:56:28
QO354123182737881000,WEBER,PACHECO,2020-05-28 08:46:56,93,189,2015-04-11 04:47:23
UN385003274429208000,GARRETT,PATRICK,2020-04-06 02:17:50,62,189,2015-11-25 05:15:15
CH404359125984271000,SIMS,COCHRAN,2021-01-27 15:56:15,20,216,2015-06-11 18:44:51
DN934311939414933000,BURTON,SHEPHERD,2018-04-08 17:42:28,20,216,2015-09-02 07:31:39
HU569864385624783000,FULLER,CAIN,2020-09-10 01:32:22,22,216,2015-12-19 07:09:22
MQ485490963100745000,SOTO,BURNETT,2016-04-28 16:59:07,89,216,2015-02-18 20:50:52
WX948654187745777000,MCCOY,HESS,2016-05-26 07:01:43,27,216,2015-01-14 12:40:37
SI724010105374152000,WELCH,LI,2021-12-07 05:35:53,59,216,2015-10-23 06:33:15
LB881501364546630000,CHEN,CERVANTES,2022-03-07 12:02:57,20,216,2015-02-12 19:35:51
